ACC     ACCOUNTING
AFR     AUDITING & FINANCIAL REPORTING
AIN     ARTIFICIAL INTELLIGENCE
AMN     AMER STUD & MUSEUM STUD
AMS     AMERICAN STUDIES
ANA     ANATOMY
ANE     ANESTHESIOLOGY
ANP     APPLIED ANATOMY
ANT     ANTHROPOLOGY
APM     APPLIED MATHEMATICS
APY     APPLIED PHYSICS
ARC     ARCHITECTURE
ARE     ART EDUCATION
ARH     ART HISTORY
ARK     ARTS IN TECHNICAL AGE
ARM     ART HISTORY & MUSEUM STUDIES
ARS     ART STUDIO
ASC     ASIAN CIVILIZATION
ASI     ASIAN STUDIES
AST     ASTRONOMY
ATT     COMP/INFO SCI (MS-COLUMBUS)
BAF     BANKING AND FINANCE
BAS     APPLIED SOCIAL SCIENCE
BCH     BIOCHEMISTRY
BEN     BIOMEDICAL ENTREPRENEURSHIP
BET     BIOETHICS
BIE     BIOSCIENCE ENTREPRENEURSHIP
BIM     BIOMETRY
BIO     BIOLOGY
BIS     BIOMEDICAL SCIENCES
BRS     BIOCHEMICAL RESEARCH
CAP     ADULT CLINICAL PSYCHOLOGY
CBI     CELL BIOLOGY
CCN     CRITICAL CARE NURSING
CCP     CHILD CLINICAL PSYCHOLOGY
CHE     CHEMISTRY
CHI     CHINESE
CHN     COMMUNITY HEALTH NURSING
CHS     CHILDHOOD STUDIES
CIS     COMPUTING AND INFO SCIENCE
CLS     CLASSICS
CLT     COMPARATIVE LITERATURE
CMP     COMPUTER SCIENCE
CMS     CERAMIC AND MATERIALS SCIENCE
CNM     CERTIFICATE IN NON PROFIT MGMT
COG     COGNITIVE SCIENCE
COS     COMMUNICATION SCIENCES
CPH     CELL PHYSIOLOGY
CRS     CLINICAL RESEARCH
CST     CONSULTING
DAM     DEAN'S APPROVED MAJOR
DGA     DEVELOP GENETICS AND ANATOMY
DNC     CONTEMPORARY DANCE
DNT     DENTISTRY
DTG     DENTAL GRADUATE
EAP     ELECTRICAL ENGINEERING
EAR     AEROSPACE ENGINEERING
EBA     EXECUTIVE MBA
EBI     BIOMEDICAL ENGINEERING
EBU     E-BUSINESS
ECE     CHEMICAL ENGINEERING
ECI     CIVIL ENGINEERING
ECL     CLINICAL ENGINEERING
ECM     COMPUTER ENGINEERING
ECO     ECONOMICS
EDM     EXECUTIVE DOCTORATE IN MGMT
EDT     TEACHER EDUCATION
EDU     EDUCATION
